product_url,product_name,price,image,product_description,unique_id,ingredients,details,currency,product_id
https://www.cleverleben.at/produkt/artischocken-gegrillt-280g-277618,"Artischocken gegrillt, 280g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-7618-1445546598-lKQw5GkX.png'],"Artischocken gegrillt, 280g",277618,,Zum Inhalt,€,277618
https://www.cleverleben.at/produkt/leberaufstrich-150g-277579,"Leberaufstrich, 150g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-7579-0873271231-PheplHOA.png'],,277579,,Zum Inhalt,€,277579
https://www.cleverleben.at/produkt/schmelzkaese-eckerl-400g-2773,"Schmelzkäse Eckerl, 400g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-73-0381622693-bZPGkwDi.png'],"Schmelzkäse Eckerl, 400g",2773,,Zum Inhalt,€,2773
https://www.cleverleben.at/produkt/mehl-universal-type-w-480-1kg-277236,"Mehl Universal Type W 480, 1kg",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-7236-01377086831-kQ_rA1oG.png'],"Mehl Universal Type W 480, 1kg",277236,,Zum Inhalt,€,277236
https://www.cleverleben.at/produkt/sonnenblumenoel-2l-27651,"Sonnenblumenöl, 2l",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-651-1438621496-YEXpOAg8.png'],,27651,,Zum Inhalt,€,27651
https://www.cleverleben.at/produkt/maiskeimoel-1l-27650,"Maiskeimöl, 1l",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-650-1789972737-lCi-hVWd.png'],,27650,,Zum Inhalt,€,27650
https://www.cleverleben.at/produkt/fleischschmalz-150g-277574,"Fleischschmalz, 150g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-7574-0327883809-ihIdMf7u.png'],,277574,,Zum Inhalt,€,277574
https://www.cleverleben.at/produkt/rauchfleischaufstrich-150g-277566,"Rauchfleischaufstrich, 150g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-7566-01289953859-3iXHcJXr.png'],"Rauchfleischaufstrich, 150g",277566,,Zum Inhalt,€,277566
https://www.cleverleben.at/produkt/sugo-bolognese-420g-2715699,"Sugo Bolognese, 420g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-15699-02080806560-s9mKrvhy.png'],,2715699,,Zum Inhalt,€,2715699
https://www.cleverleben.at/produkt/raeucherlachs-200g-2715729,"Räucherlachs, 200g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-15729-1009418502-7akLVzqu.png'],,2715729,,Zum Inhalt,€,2715729
